reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.01,5.1806
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.025,5.2984
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.05,5.4946
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.1,5.887
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.15,6.2794
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.2,6.6719
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.25,7.0643
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.3,7.4567
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.35,7.8492
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.4,8.2416
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.45,8.6341
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.5,9.0265
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.55,9.4189
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.6,9.8114
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.65,10.2038
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.7,10.5962
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.75,10.9887
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.8,11.3811
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.85,11.7735
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.9,12.166
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.95,12.5584
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.975,12.7546
2026-06-29,wk inc covid prop ili,-1,2026-06-22,CN,quantile,0.99,12.8723
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.01,6.5064
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.025,6.6463
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.05,6.8795
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.1,7.3459
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.15,7.8123
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.2,8.2787
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.25,8.7451
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.3,9.2115
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.35,9.6779
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.4,10.1444
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.45,10.6108
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.5,11.0772
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.55,11.5436
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.6,12.01
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.65,12.4764
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.7,12.9428
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.75,13.4092
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.8,13.8756
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.85,14.342
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.9,14.8084
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.95,15.2748
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.975,15.508
2026-06-29,wk inc covid prop ili,0,2026-06-29,CN,quantile,0.99,15.648
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.01,8.5569
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.025,8.741
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.05,9.0477
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.1,9.6611
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.15,10.2745
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.2,10.8879
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.25,11.5013
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.3,12.1147
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.35,12.7281
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.4,13.3415
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.45,13.9549
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.5,14.5683
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.55,15.1817
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.6,15.7951
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.65,16.4085
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.7,17.0219
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.75,17.6353
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.8,18.2487
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.85,18.8621
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.9,19.4755
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.95,20.0889
2026-06-29,wk inc covid prop ili,1,2026-07-06,CN,quantile,0.975,20.3956
