reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.01,0.01
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.025,0.19
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.05,1.76
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.1,3.58
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.15,4.8
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.2,5.77
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.25,6.6
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.3,7.35
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.35,8.04
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.4,8.7
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.45,9.34
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.5,9.96
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.55,10.59
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.6,11.22
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.65,11.88
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.7,12.57
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.75,13.32
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.8,14.15
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.85,15.12
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.9,16.35
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.95,18.16
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.975,19.73
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.99,21.55
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.01,0.54
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.025,2.28
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.05,3.77
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.1,5.49
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.15,6.66
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.2,7.58
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.25,8.38
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.3,9.09
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.35,9.75
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.4,10.37
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.45,10.98
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.5,11.57
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.55,12.17
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.6,12.77
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.65,13.4
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.7,14.06
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.75,14.77
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.8,15.57
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.85,16.49
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.9,17.65
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.95,19.38
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.975,20.87
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.99,22.61
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.01,2.72
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.025,4.38
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.05,5.8
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.1,7.44
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.15,8.54
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.2,9.42
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.25,10.18
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.3,10.85
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.35,11.48
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.4,12.08
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.45,12.65
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.5,13.22
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.55,13.78
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.6,14.36
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.65,14.95
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.7,15.58
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.75,16.26
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.8,17.01
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.85,17.89
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.9,18.99
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.95,20.63
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.975,22.05
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.99,23.71
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.01,4.87
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.025,6.44
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.05,7.79
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.1,9.34
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.15,10.39
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.2,11.23
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.25,11.94
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.3,12.59
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.35,13.18
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.4,13.75
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.45,14.29
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.5,14.83
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.55,15.37
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.6,15.91
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.65,16.48
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.7,17.07
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.75,17.71
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.8,18.43
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.85,19.26
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.9,20.31
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.95,21.87
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.975,23.22
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.99,24.79
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.01,6.91
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.025,8.4
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.05,9.68
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.1,11.16
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.15,12.15
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.2,12.94
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.25,13.62
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.3,14.23
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.35,14.8
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.4,15.33
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.45,15.85
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.5,16.36
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.55,16.87
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.6,17.39
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.65,17.92
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.7,18.49
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.75,19.1
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.8,19.78
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.85,20.57
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.9,21.56
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.95,23.04
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.975,24.32
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.99,25.81
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.01,8.79
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.025,10.2
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.05,11.42
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.1,12.82
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.15,13.76
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.2,14.51
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.25,15.16
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.3,15.74
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.35,16.27
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.4,16.78
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.45,17.27
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.5,17.76
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.55,18.24
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.6,18.73
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.65,19.24
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.7,19.77
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.75,20.35
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.8,21.0
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.85,21.75
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.9,22.69
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.95,24.09
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.975,25.31
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.99,26.72
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.01,10.44
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.025,11.78
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.05,12.94
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.1,14.27
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.15,15.17
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.2,15.88
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.25,16.5
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.3,17.05
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.35,17.56
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.4,18.04
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.45,18.51
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.5,18.97
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.55,19.43
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.6,19.9
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.65,20.38
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.7,20.89
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.75,21.44
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.8,22.05
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.85,22.77
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.9,23.67
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.95,25.0
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.975,26.15
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.99,27.5
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.01,11.18
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.025,12.56
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.05,13.75
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.1,15.12
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.15,16.05
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.2,16.78
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.25,17.41
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.3,17.98
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.35,18.51
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.4,19.0
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.45,19.48
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.5,19.96
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.55,20.43
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.6,20.91
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.65,21.41
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.7,21.93
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.75,22.5
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.8,23.13
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.85,23.87
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.9,24.79
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.95,26.17
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.975,27.35
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.99,28.74
