reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.01,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.025,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.05,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.1,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.15,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.2,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.25,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.3,2.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.35,3.64
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.4,4.41
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.45,5.18
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.5,5.96
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.55,6.34
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.6,6.73
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.65,7.12
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.7,7.5
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.75,7.89
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.8,8.28
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.85,8.66
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.9,9.05
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.95,9.44
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.975,9.63
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.99,9.74
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.01,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.025,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.05,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.1,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.15,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.2,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.25,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.3,3.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.35,4.33
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.4,5.05
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.45,5.78
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.5,6.5
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.55,6.86
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.6,7.22
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.65,7.59
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.7,7.95
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.75,8.31
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.8,8.67
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.85,9.04
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.9,9.4
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.95,9.76
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.975,9.94
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.99,10.05
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.01,3.54
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.025,3.54
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.05,3.54
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.1,3.54
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.15,3.54
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.2,3.54
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.25,3.7
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.3,4.37
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.35,5.05
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.4,5.73
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.45,6.4
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.5,7.08
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.55,7.42
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.6,7.75
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.65,8.09
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.7,8.43
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.75,8.77
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.8,9.11
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.85,9.45
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.9,9.78
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.95,10.12
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.975,10.29
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.99,10.39
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.01,3.83
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.025,3.83
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.05,3.83
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.1,3.83
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.15,3.83
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.2,3.89
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.25,4.52
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.3,5.15
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.35,5.78
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.4,6.41
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.45,7.03
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.5,7.66
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.55,7.98
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.6,8.29
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.65,8.6
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.7,8.92
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.75,9.23
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.8,9.55
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.85,9.86
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.9,10.17
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.95,10.49
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.975,10.64
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.99,10.74
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.01,4.13
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.025,4.13
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.05,4.13
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.1,4.13
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.15,4.19
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.2,4.77
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.25,5.35
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.3,5.93
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.35,6.51
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.4,7.09
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.45,7.67
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.5,8.25
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.55,8.54
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.6,8.83
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.65,9.12
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.7,9.41
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.75,9.7
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.8,9.99
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.85,10.28
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.9,10.57
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.95,10.86
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.975,11.01
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.99,11.09
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.01,4.45
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.025,4.45
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.05,4.45
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.1,4.64
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.15,5.17
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.2,5.71
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.25,6.24
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.3,6.77
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.35,7.3
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.4,7.83
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.45,8.36
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.5,8.89
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.55,9.16
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.6,9.43
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.65,9.69
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.7,9.96
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.75,10.22
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.8,10.49
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.85,10.75
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.9,11.02
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.95,11.29
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.975,11.42
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.99,11.5
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.01,4.93
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.025,5.07
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.05,5.31
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.1,5.8
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.15,6.28
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.2,6.76
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.25,7.25
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.3,7.73
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.35,8.21
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.4,8.7
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.45,9.18
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.5,9.66
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.55,9.9
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.6,10.14
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.65,10.39
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.7,10.63
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.75,10.87
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.8,11.11
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.85,11.35
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.9,11.59
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.95,11.84
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.975,11.96
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.99,12.03
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.01,5.57
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.025,5.72
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.05,5.97
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.1,6.48
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.15,6.99
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.2,7.49
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.25,8.0
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.3,8.51
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.35,9.01
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.4,9.52
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.45,10.03
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.5,10.54
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.55,10.79
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.6,11.04
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.65,11.3
