reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.01,0.263
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.025,0.307
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.05,0.334
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.1,0.37
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.15,0.395
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.2,0.417
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.25,0.434
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.3,0.447
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.35,0.462
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.4,0.475
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.45,0.489
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.5,0.502
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.55,0.515
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.6,0.527
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.65,0.539
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.7,0.555
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.75,0.567
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.8,0.584
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.85,0.604
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.9,0.627
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.95,0.663
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.975,0.697
2025-12-22,wk inc covid prop ili,-5,2025-11-17,CN,quantile,0.99,0.733
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.01,0.368
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.025,0.408
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.05,0.434
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.1,0.47
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.15,0.496
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.2,0.519
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.25,0.533
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.3,0.548
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.35,0.56
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.4,0.574
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.45,0.587
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.5,0.601
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.55,0.613
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.6,0.625
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.65,0.639
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.7,0.654
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.75,0.665
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.8,0.683
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.85,0.703
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.9,0.727
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.95,0.766
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.975,0.792
2025-12-22,wk inc covid prop ili,-4,2025-11-24,CN,quantile,0.99,0.828
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.01,0.369
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.025,0.404
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.05,0.435
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.1,0.469
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.15,0.496
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.2,0.516
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.25,0.533
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.3,0.547
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.35,0.562
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.4,0.575
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.45,0.589
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.5,0.599
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.55,0.611
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.6,0.624
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.65,0.639
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.7,0.653
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.75,0.667
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.8,0.683
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.85,0.705
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.9,0.727
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.95,0.763
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.975,0.798
2025-12-22,wk inc covid prop ili,-3,2025-12-01,CN,quantile,0.99,0.829
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.01,0.07
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.025,0.1
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.05,0.133
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.1,0.17
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.15,0.199
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.2,0.215
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.25,0.233
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.3,0.246
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.35,0.262
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.4,0.275
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.45,0.288
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.5,0.3
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.55,0.314
2025-12-22,wk inc covid prop ili,-2,2025-12-08,CN,quantile,0.6,0.326
