reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.01,8.5
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.025,9.2
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.05,9.8
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.1,10.5
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.15,11.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.2,11.4
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.25,11.7
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.3,12.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.35,12.3
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.4,12.6
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.45,12.8
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.5,13.1
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.55,13.4
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.6,13.7
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.65,14.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.7,14.3
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.75,14.7
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.8,15.1
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.85,15.6
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.9,16.2
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.95,17.1
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.975,17.9
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.99,19.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.01,8.8
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.025,9.5
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.05,10.1
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.1,10.8
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.15,11.3
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.2,11.7
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.25,12.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.3,12.3
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.35,12.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.4,12.9
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.45,13.2
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.5,13.5
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.55,13.8
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.6,14.1
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.65,14.4
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.7,14.8
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.75,15.2
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.8,15.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.85,16.1
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.9,16.7
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.95,17.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.975,18.4
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.99,19.5
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.01,9.1
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.025,9.8
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.05,10.4
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.1,11.1
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.15,11.6
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.2,12.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.25,12.3
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.3,12.6
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.35,12.9
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.4,13.2
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.45,13.5
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.5,13.8
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.55,14.1
