reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.01,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.025,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.05,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.1,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.15,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.2,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.25,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.3,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.35,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.4,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.45,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.5,0.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.55,0.16
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.6,0.33
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.65,0.49
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.7,0.65
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.75,0.82
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.8,0.98
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.85,1.14
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.9,1.31
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.95,1.47
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.975,1.55
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.99,1.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.01,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.025,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.05,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.1,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.15,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.2,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.25,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.3,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.35,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.4,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.45,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.5,0.0
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.55,0.15
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.6,0.3
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.65,0.45
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.7,0.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.75,0.75
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.8,0.9
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.85,1.05
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.9,1.21
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.95,1.36
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.975,1.43
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.99,1.48
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.01,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.025,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.05,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.1,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.15,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.2,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.25,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.3,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.35,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.4,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.45,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.5,0.0
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.55,0.14
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.6,0.28
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.65,0.41
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.7,0.55
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.75,0.69
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.8,0.83
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.85,0.96
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.9,1.1
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.95,1.24
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.975,1.31
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.99,1.35
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.01,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.025,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.05,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.1,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.15,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.2,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.25,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.3,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.35,0.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.4,0.0
