reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.01,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.025,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.05,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.1,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.15,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.2,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.25,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.3,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.35,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.4,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.45,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.5,0.0
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.55,0.58
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.6,1.17
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.65,1.75
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.7,2.34
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.75,2.92
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.8,3.5
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.85,4.09
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.9,4.67
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.95,5.26
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.975,5.55
2025-10-06,wk inc covid prop ili,6,2025-11-17,CN,quantile,0.99,5.72
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.01,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.025,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.05,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.1,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.15,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.2,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.25,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.3,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.35,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.4,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.45,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.5,0.0
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.55,0.53
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.6,1.05
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.65,1.58
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.7,2.1
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.75,2.63
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.8,3.15
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.85,3.68
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.9,4.2
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.95,4.73
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.975,4.99
2025-10-06,wk inc covid prop ili,5,2025-11-10,CN,quantile,0.99,5.15
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.01,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.025,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.05,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.1,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.15,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.2,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.25,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.3,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.35,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.4,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.45,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.5,0.0
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.55,0.47
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.6,0.93
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.65,1.4
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.7,1.87
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.75,2.34
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.8,2.8
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.85,3.27
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.9,3.74
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.95,4.2
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.975,4.44
2025-10-06,wk inc covid prop ili,4,2025-11-03,CN,quantile,0.99,4.58
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.01,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.025,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.05,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.1,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.15,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.2,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.25,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.3,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.35,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.4,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.45,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.5,0.0
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.55,0.41
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.6,0.82
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.65,1.23
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.7,1.64
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.75,2.04
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.8,2.45
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.85,2.86
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.9,3.27
2025-10-06,wk inc covid prop ili,3,2025-10-27,CN,quantile,0.95,3.68
