reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.01,0.01
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.025,0.01
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.05,0.01
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.1,0.01
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.15,0.36
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.2,1.15
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.25,2.02
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.3,2.85
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.35,3.63
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.4,4.48
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.45,5.3
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.5,6.07
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.55,6.93
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.6,7.75
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.65,8.72
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.7,9.8
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.75,10.87
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.8,12.07
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.85,13.73
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.9,15.83
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.95,19.74
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.975,22.99
2026-08-31,wk inc covid prop ili,6,2026-10-12,CN,quantile,0.99,27.73
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.01,0.01
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.025,0.01
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.05,0.01
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.1,0.01
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.15,0.76
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.2,1.82
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.25,2.79
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.3,3.65
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.35,4.49
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.4,5.33
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.45,6.13
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.5,6.93
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.55,7.83
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.6,8.68
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.65,9.66
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.7,10.61
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.75,11.72
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.8,13.09
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.85,14.69
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.9,16.68
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.95,20.1
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.975,24.04
2026-08-31,wk inc covid prop ili,5,2026-10-05,CN,quantile,0.99,28.81
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.01,0.01
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.025,0.01
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.05,0.01
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.1,0.54
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.15,1.79
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.2,2.93
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.25,3.87
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.3,4.77
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.35,5.67
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.4,6.49
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.45,7.31
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.5,8.14
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.55,8.94
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.6,9.74
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.65,10.62
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.7,11.62
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.75,12.77
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.8,14.1
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.85,15.65
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.9,17.73
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.95,21.1
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.975,24.28
2026-08-31,wk inc covid prop ili,4,2026-09-28,CN,quantile,0.99,27.92
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.01,0.01
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.025,0.01
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.05,0.37
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.1,2.25
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.15,3.49
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.2,4.49
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.25,5.49
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.3,6.32
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.35,7.11
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.4,7.93
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.45,8.67
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.5,9.41
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.55,10.23
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.6,10.96
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.65,11.85
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.7,12.83
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.75,13.82
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.8,15.05
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.85,16.52
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.9,18.52
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.95,21.55
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.975,24.47
2026-08-31,wk inc covid prop ili,3,2026-09-21,CN,quantile,0.99,29.09
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.01,0.01
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.025,0.68
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.05,2.26
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.1,4.19
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.15,5.53
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.2,6.57
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.25,7.42
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.3,8.19
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.35,8.96
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.4,9.66
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.45,10.36
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.5,11.05
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.55,11.75
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.6,12.48
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.65,13.28
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.7,14.12
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.75,15.03
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.8,16.14
2026-08-31,wk inc covid prop ili,2,2026-09-14,CN,quantile,0.85,17.38
