reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.01,5.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.025,5.23
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.05,5.63
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.1,6.41
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.15,7.2
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.2,7.99
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.25,8.78
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.3,9.57
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.35,10.36
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.4,11.15
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.45,11.93
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.5,12.72
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.55,13.12
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.6,13.51
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.65,13.91
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.7,14.3
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.75,14.69
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.8,15.09
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.85,15.48
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.9,15.88
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.95,16.27
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.975,16.47
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.99,16.59
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.01,6.16
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.025,6.39
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.05,6.77
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.1,7.54
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.15,8.3
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.2,9.07
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.25,9.83
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.3,10.6
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.35,11.37
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.4,12.13
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.45,12.9
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.5,13.67
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.55,14.05
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.6,14.43
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.65,14.81
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.7,15.2
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.75,15.58
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.8,15.96
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.85,16.35
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.9,16.73
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.95,17.11
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.975,17.3
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.99,17.42
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.01,7.11
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.025,7.33
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.05,7.69
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.1,8.41
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.15,9.13
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.2,9.85
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.25,10.57
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.3,11.29
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.35,12.01
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.4,12.73
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.45,13.45
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.5,14.17
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.55,14.53
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.6,14.89
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.65,15.25
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.7,15.61
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.75,15.97
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.8,16.33
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.85,16.69
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.9,17.05
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.95,17.41
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.975,17.59
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.99,17.7
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.01,7.05
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.025,7.24
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.05,7.54
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.1,8.16
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.15,8.77
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.2,9.39
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.25,10.0
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.3,10.61
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.35,11.23
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.4,11.84
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.45,12.46
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.5,13.07
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.55,13.38
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.6,13.68
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.65,13.99
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.7,14.3
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.75,14.6
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.8,14.91
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.85,15.22
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.9,15.52
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.95,15.83
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.975,15.98
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.99,16.08
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.01,7.47
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.025,7.63
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.05,7.9
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.1,8.45
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.15,8.99
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.2,9.53
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.25,10.07
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.3,10.61
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.35,11.15
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.4,11.69
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.45,12.23
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.5,12.77
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.55,13.04
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.6,13.32
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.65,13.59
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.7,13.86
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.75,14.13
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.8,14.4
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.85,14.67
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.9,14.94
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.95,15.21
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.975,15.34
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.99,15.43
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.01,8.04
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.025,8.19
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.05,8.42
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.1,8.9
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.15,9.38
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.2,9.86
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.25,10.33
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.3,10.81
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.35,11.29
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.4,11.76
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.45,12.24
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.5,12.72
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.55,12.96
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.6,13.19
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.65,13.43
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.7,13.67
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.75,13.91
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.8,14.15
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.85,14.39
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.9,14.63
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.95,14.86
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.975,14.98
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.99,15.06
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.01,7.17
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.025,7.29
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.05,7.47
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.1,7.84
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.15,8.21
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.2,8.58
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.25,8.95
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.3,9.32
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.35,9.69
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.4,10.06
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.45,10.43
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.5,10.8
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.55,10.98
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.6,11.17
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.65,11.35
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.7,11.54
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.75,11.72
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.8,11.91
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.85,12.09
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.9,12.28
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.95,12.46
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.975,12.56
2025-09-01,wk inc covid prop ili,0,2025-09-01,CN,quantile,0.99,12.61
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.01,7.53
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.025,7.65
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.05,7.85
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.1,8.25
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.15,8.66
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.2,9.07
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.25,9.47
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.3,9.88
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.35,10.28
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.4,10.69
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.45,11.09
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.5,11.5
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.55,11.7
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.6,11.9
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.65,12.11
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.7,12.31
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.75,12.51
2025-09-01,wk inc covid prop ili,-1,2025-08-25,CN,quantile,0.8,12.71
