reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.01,0.52
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.025,0.84
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.05,1.03
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.1,1.25
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.15,1.4
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.2,1.51
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.25,1.62
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.3,1.71
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.35,1.82
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.4,1.91
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.45,1.98
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.5,2.04
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.55,2.15
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.6,2.23
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.65,2.32
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.7,2.42
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.75,2.53
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.8,2.61
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.85,2.78
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.9,2.92
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.95,3.16
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.975,3.33
2026-02-16,wk inc covid prop ili,6,2026-03-30,CN,quantile,0.99,3.58
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.01,0.78
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.025,1.0
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.05,1.16
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.1,1.37
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.15,1.51
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.2,1.62
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.25,1.72
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.3,1.8
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.35,1.89
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.4,1.99
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.45,2.07
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.5,2.12
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.55,2.24
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.6,2.3
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.65,2.37
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.7,2.44
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.75,2.54
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.8,2.64
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.85,2.73
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.9,2.87
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.95,3.07
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.975,3.28
2026-02-16,wk inc covid prop ili,5,2026-03-23,CN,quantile,0.99,3.49
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.01,0.75
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.025,0.99
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.05,1.14
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.1,1.36
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.15,1.51
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.2,1.61
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.25,1.7
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.3,1.77
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.35,1.84
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.4,1.91
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.45,2.0
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.5,2.07
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.55,2.13
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.6,2.18
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.65,2.25
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.7,2.34
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.75,2.44
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.8,2.52
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.85,2.65
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.9,2.78
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.95,2.98
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.975,3.17
2026-02-16,wk inc covid prop ili,4,2026-03-16,CN,quantile,0.99,3.39
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.01,0.85
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.025,1.08
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.05,1.26
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.1,1.43
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.15,1.57
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.2,1.65
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.25,1.73
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.3,1.84
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.35,1.9
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.4,1.96
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.45,2.0
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.5,2.12
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.55,2.16
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.6,2.23
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.65,2.29
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.7,2.37
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.75,2.44
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.8,2.55
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.85,2.63
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.9,2.75
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.95,2.95
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.975,3.12
2026-02-16,wk inc covid prop ili,3,2026-03-09,CN,quantile,0.99,3.37
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.01,0.92
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.025,1.07
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.05,1.24
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.1,1.4
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.15,1.49
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.2,1.63
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.25,1.7
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.3,1.76
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.35,1.83
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.4,1.91
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.45,1.96
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.5,2.0
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.55,2.07
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.6,2.15
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.65,2.21
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.7,2.25
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.75,2.33
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.8,2.43
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.85,2.54
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.9,2.64
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.95,2.79
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.975,2.96
2026-02-16,wk inc covid prop ili,2,2026-03-02,CN,quantile,0.99,3.15
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.01,0.98
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.025,1.13
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.05,1.28
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.1,1.45
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.15,1.56
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.2,1.62
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.25,1.7
2026-02-16,wk inc covid prop ili,1,2026-02-23,CN,quantile,0.3,1.77
