reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.01,3.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.025,3.06
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.05,3.16
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.1,3.35
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.15,3.55
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.2,3.75
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.25,3.95
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.3,4.14
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.35,4.34
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.4,4.54
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.45,4.74
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.5,4.75
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.55,4.76
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.6,4.77
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.65,4.78
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.7,4.79
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.75,4.81
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.8,5.11
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.85,5.41
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.9,5.7
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.95,6.0
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.975,6.15
2025-09-01,wk inc covid prop ili,6,2025-10-13,CN,quantile,0.99,6.23
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.01,3.25
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.025,3.31
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.05,3.42
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.1,3.63
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.15,3.85
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.2,4.06
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.25,4.27
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.3,4.49
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.35,4.7
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.4,4.91
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.45,5.13
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.5,5.14
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.55,5.15
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.6,5.16
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.65,5.17
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.7,5.18
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.75,5.42
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.8,5.74
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.85,6.06
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.9,6.38
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.95,6.7
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.975,6.86
2025-09-01,wk inc covid prop ili,5,2025-10-06,CN,quantile,0.99,6.95
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.01,3.58
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.025,3.65
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.05,3.77
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.1,4.01
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.15,4.24
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.2,4.48
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.25,4.71
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.3,4.95
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.35,5.19
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.4,5.42
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.45,5.66
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.5,5.67
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.55,5.68
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.6,5.69
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.65,5.7
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.7,5.88
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.75,6.23
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.8,6.59
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.85,6.94
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.9,7.29
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.95,7.65
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.975,7.82
2025-09-01,wk inc covid prop ili,4,2025-09-29,CN,quantile,0.99,7.93
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.01,4.01
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.025,4.08
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.05,4.22
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.1,4.48
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.15,4.74
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.2,5.01
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.25,5.27
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.3,5.53
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.35,5.8
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.4,6.06
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.45,6.33
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.5,6.34
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.55,6.35
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.6,6.36
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.65,6.5
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.7,6.89
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.75,7.29
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.8,7.69
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.85,8.08
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.9,8.48
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.95,8.87
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.975,9.07
2025-09-01,wk inc covid prop ili,3,2025-09-22,CN,quantile,0.99,9.19
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.01,4.51
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.025,4.6
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.05,4.75
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.1,5.04
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.15,5.34
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.2,5.64
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.25,5.94
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.3,6.23
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.35,6.53
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.4,6.83
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.45,7.12
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.5,7.13
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.55,7.14
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.6,7.29
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.65,7.73
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.7,8.18
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.75,8.62
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.8,9.07
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.85,9.51
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.9,9.96
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.95,10.4
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.975,10.62
2025-09-01,wk inc covid prop ili,2,2025-09-15,CN,quantile,0.99,10.76
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.01,5.09
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.025,5.19
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.05,5.36
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.1,5.69
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.15,6.03
2025-09-01,wk inc covid prop ili,1,2025-09-08,CN,quantile,0.2,6.36
