reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.01,0.36
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.025,0.402
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.05,0.437
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.1,0.473
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.15,0.495
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.2,0.517
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.25,0.532
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.3,0.546
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.35,0.56
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.4,0.574
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.45,0.587
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.5,0.601
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.55,0.615
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.6,0.626
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.65,0.64
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.7,0.655
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.75,0.668
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.8,0.684
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.85,0.705
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.9,0.727
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.95,0.766
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.975,0.796
2025-12-08,wk inc covid prop ili,-1,2025-12-01,CN,quantile,0.99,0.839
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.01,0.065
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.025,0.103
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.05,0.137
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.1,0.171
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.15,0.195
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.2,0.216
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.25,0.232
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.3,0.247
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.35,0.262
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.4,0.276
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.45,0.287
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.5,0.3
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.55,0.311
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.6,0.325
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.65,0.338
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.7,0.354
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.75,0.367
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.8,0.384
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.85,0.404
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.9,0.428
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.95,0.465
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.975,0.501
2025-12-08,wk inc covid prop ili,0,2025-12-08,CN,quantile,0.99,0.535
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.01,0.01
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.025,0.01
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.05,0.01
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.1,0.01
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.15,0.066
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.2,0.135
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.25,0.179
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.3,0.221
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.35,0.261
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.4,0.307
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.45,0.341
2025-12-08,wk inc covid prop ili,1,2025-12-15,CN,quantile,0.5,0.385
