reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.01,54.99
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.025,57.10
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.05,57.93
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.1,58.91
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.15,59.53
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.2,60.03
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.25,60.54
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.3,60.87
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.35,61.20
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.4,61.49
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.45,61.82
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.5,62.11
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.55,62.41
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.6,62.61
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.65,62.86
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.7,63.08
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.75,63.44
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.8,63.75
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.85,64.09
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.9,64.59
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.95,65.30
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.975,65.80
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.99,66.12
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.01,53.71
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.025,55.72
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.05,56.51
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.1,57.45
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.15,58.04
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.2,58.52
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.25,59.01
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.3,59.32
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.35,59.63
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.4,59.91
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.45,60.23
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.5,60.51
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.55,60.79
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.6,60.99
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.65,61.22
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.7,61.43
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.75,61.78
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.8,62.07
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.85,62.39
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.9,62.87
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.95,63.54
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.975,64.02
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.99,64.32
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.01,52.45
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.025,54.37
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.05,55.14
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.1,56.02
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.15,56.59
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.2,57.05
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.25,57.51
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.3,57.82
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.35,58.11
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.4,58.37
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.45,58.67
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.5,58.95
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.55,59.21
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.6,59.40
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.65,59.62
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.7,59.83
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.75,60.16
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.8,60.44
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.85,60.73
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.9,61.20
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.95,61.83
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.975,62.29
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.99,62.58
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.01,51.22
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.025,53.05
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.05,53.80
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.1,54.63
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.15,55.17
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.2,55.62
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.25,56.06
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.3,56.35
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.35,56.62
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.4,56.87
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.45,57.16
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.5,57.42
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.55,57.68
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.6,57.86
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.65,58.07
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.7,58.26
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.75,58.58
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.8,58.83
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.85,59.12
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.9,59.58
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.95,60.17
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.975,60.61
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.99,60.88
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.01,50.03
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.025,51.76
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.05,52.49
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.1,53.27
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.15,53.78
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.2,54.22
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.25,54.63
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.3,54.93
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.35,55.18
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.4,55.41
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.45,55.69
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.5,55.94
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.55,56.19
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.6,56.36
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.65,56.55
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.7,56.73
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.75,57.05
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.8,57.28
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.85,57.56
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.9,57.99
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.95,58.55
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.975,58.97
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.99,59.23
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.01,48.86
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.025,50.52
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.05,51.21
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.1,51.96
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.15,52.44
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.2,52.86
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.25,53.25
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.3,53.53
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.35,53.76
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.4,53.99
