reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.25,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.3,0.0
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.35,1.7
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.4,6.08
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.45,10.32
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.5,14.49
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.55,18.67
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.6,22.91
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.65,27.29
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.7,31.9
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.75,36.89
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.8,42.44
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.85,48.9
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.9,57.04
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.95,69.1
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.975,79.57
2026-09-21,wk inc covid prop ili,6,2026-11-02,CN,quantile,0.99,91.73
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.25,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.3,0.0
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.35,1.74
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.4,5.97
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.45,10.06
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.5,14.08
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.55,18.11
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.6,22.2
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.65,26.43
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.7,30.88
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.75,35.69
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.8,41.04
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.85,47.28
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.9,55.13
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.95,66.77
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.975,76.86
2026-09-21,wk inc covid prop ili,5,2026-10-26,CN,quantile,0.99,88.59
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.25,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.3,0.0
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.35,2.29
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.4,6.33
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.45,10.24
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.5,14.09
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.55,17.94
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.6,21.84
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.65,25.88
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.7,30.14
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.75,34.73
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.8,39.85
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.85,45.81
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.9,53.32
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.95,64.44
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.975,74.08
2026-09-21,wk inc covid prop ili,4,2026-10-19,CN,quantile,0.99,85.3
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.25,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.3,0.0
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.35,3.35
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.4,7.17
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.45,10.87
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.5,14.51
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.55,18.15
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.6,21.85
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.65,25.67
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.7,29.7
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.75,34.05
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.8,38.89
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.85,44.54
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.9,51.64
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.95,62.16
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.975,71.29
2026-09-21,wk inc covid prop ili,3,2026-10-12,CN,quantile,0.99,81.9
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.25,0.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.3,1.07
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.35,4.85
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.4,8.43
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.45,11.9
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.5,15.32
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.55,18.73
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.6,22.2
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.65,25.78
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.7,29.56
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.75,33.64
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.8,38.18
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.85,43.47
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.9,50.13
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.95,60.0
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.975,68.56
2026-09-21,wk inc covid prop ili,2,2026-10-05,CN,quantile,0.99,78.51
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.25,0.0
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.3,3.16
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.35,6.68
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.4,10.02
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.45,13.25
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.5,16.43
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.55,19.6
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.6,22.83
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.65,26.17
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.7,29.69
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.75,33.48
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.8,37.71
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.85,42.64
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.9,48.84
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.95,58.02
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.975,65.99
2026-09-21,wk inc covid prop ili,1,2026-09-28,CN,quantile,0.99,75.26
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.2,0.0
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.25,1.91
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.3,5.43
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.35,8.7
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.4,11.79
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.45,14.79
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.5,17.73
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.55,20.68
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.6,23.68
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.65,26.77
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.7,30.03
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.75,33.55
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.8,37.47
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.85,42.04
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.9,47.79
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.95,56.31
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.975,63.7
2026-09-21,wk inc covid prop ili,0,2026-09-21,CN,quantile,0.99,72.3
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.01,0.0
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.025,0.0
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.05,0.0
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.1,0.0
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.15,0.0
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.2,0.75
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.25,4.4
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.3,7.67
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.35,10.7
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.4,13.57
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.45,16.35
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.5,19.09
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.55,21.83
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.6,24.61
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.65,27.49
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.7,30.52
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.75,33.79
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.8,37.43
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.85,41.68
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.9,47.02
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.95,54.93
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.975,61.8
2026-09-21,wk inc covid prop ili,-1,2026-09-14,CN,quantile,0.99,69.78
