reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,,,,
2025/12/8,wk inc covid prop ili,-2,2025/11/24,CN,quantile,0.025,0.62143745,,,,
2025/12/8,wk inc covid prop ili,-2,2025/11/24,CN,quantile,0.25,0.655961753,,,,
2025/12/8,wk inc covid prop ili,-2,2025/11/24,CN,quantile,0.5,0.690486055,,,,
2025/12/8,wk inc covid prop ili,-2,2025/11/24,CN,quantile,0.75,0.725010358,,,,
2025/12/8,wk inc covid prop ili,-2,2025/11/24,CN,quantile,0.975,0.759534661,,,,
2025/12/8,wk inc covid prop ili,-1,2025/12/1,CN,quantile,0.025,0.614060948,,,,
2025/12/8,wk inc covid prop ili,-1,2025/12/1,CN,quantile,0.25,0.648175445,,,,
2025/12/8,wk inc covid prop ili,-1,2025/12/1,CN,quantile,0.5,0.682289942,,,,
2025/12/8,wk inc covid prop ili,-1,2025/12/1,CN,quantile,0.75,0.716404439,,,,
2025/12/8,wk inc covid prop ili,-1,2025/12/1,CN,quantile,0.975,0.750518936,,,,
2025/12/8,wk inc covid prop ili,0,2025/12/8,CN,quantile,0.025,0.607570907,,,,
2025/12/8,wk inc covid prop ili,0,2025/12/8,CN,quantile,0.25,0.641324846,,,,
2025/12/8,wk inc covid prop ili,0,2025/12/8,CN,quantile,0.5,0.675078785,,,,
2025/12/8,wk inc covid prop ili,0,2025/12/8,CN,quantile,0.75,0.708832725,,,,
2025/12/8,wk inc covid prop ili,0,2025/12/8,CN,quantile,0.975,0.742586664,,,,
