reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-19,wk inc covid prop ili,-1,2026-01-12,CN,quantile,0.025,0.92143745
2026-01-19,wk inc covid prop ili,-1,2026-01-12,CN,quantile,0.25,0.955961753
2026-01-19,wk inc covid prop ili,-1,2026-01-12,CN,quantile,0.5,0.990486055
2026-01-19,wk inc covid prop ili,-1,2026-01-12,CN,quantile,0.75,1.025010358
2026-01-19,wk inc covid prop ili,-1,2026-01-12,CN,quantile,0.975,1.059534661
2026-01-19,wk inc covid prop ili,0,2026-01-19,CN,quantile,0.025,0.914060948
2026-01-19,wk inc covid prop ili,0,2026-01-19,CN,quantile,0.25,0.948175445
2026-01-19,wk inc covid prop ili,0,2026-01-19,CN,quantile,0.5,0.982289942
2026-01-19,wk inc covid prop ili,0,2026-01-19,CN,quantile,0.75,1.016404439
2026-01-19,wk inc covid prop ili,0,2026-01-19,CN,quantile,0.975,1.050518936
2026-01-19,wk inc covid prop ili,1,2026-01-26,CN,quantile,0.025,0.907570907
2026-01-19,wk inc covid prop ili,1,2026-01-26,CN,quantile,0.25,0.941324846
2026-01-19,wk inc covid prop ili,1,2026-01-26,CN,quantile,0.5,0.975078785
2026-01-19,wk inc covid prop ili,1,2026-01-26,CN,quantile,0.75,1.008832725
2026-01-19,wk inc covid prop ili,1,2026-01-26,CN,quantile,0.975,1.042586664
