reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,,,,,
2026-01-28,wk inc covid prop ili,-2,2026-01-11,CN,quantile,0.025,0.92143745,,,,,
2026-01-28,wk inc covid prop ili,-2,2026-01-11,CN,quantile,0.25,0.955961753,,,,,0.9
2026-01-28,wk inc covid prop ili,-2,2026-01-11,CN,quantile,0.5,0.990486055,,,,,
2026-01-28,wk inc covid prop ili,-2,2026-01-11,CN,quantile,0.75,1.025010358,,,,,
2026-01-28,wk inc covid prop ili,-2,2026-01-11,CN,quantile,0.975,1.059534661,,,,,
2026-01-28,wk inc covid prop ili,-1,2026-01-18,CN,quantile,0.025,0.914060948,,,,,
2026-01-28,wk inc covid prop ili,-1,2026-01-18,CN,quantile,0.25,0.948175445,,,,,
2026-01-28,wk inc covid prop ili,-1,2026-01-18,CN,quantile,0.5,0.982289942,,,,,
2026-01-28,wk inc covid prop ili,-1,2026-01-18,CN,quantile,0.75,1.016404439,,,,,
2026-01-28,wk inc covid prop ili,-1,2026-01-18,CN,quantile,0.975,1.050518936,,,,,
2026-01-28,wk inc covid prop ili,0,2026-01-25,CN,quantile,0.025,0.907570907,,,,,
2026-01-28,wk inc covid prop ili,0,2026-01-25,CN,quantile,0.25,0.941324846,,,,,
2026-01-28,wk inc covid prop ili,0,2026-01-25,CN,quantile,0.5,0.975078785,,,,,
2026-01-28,wk inc covid prop ili,0,2026-01-25,CN,quantile,0.75,1.008832725,,,,,
2026-01-28,wk inc covid prop ili,0,2026-01-25,CN,quantile,0.975,1.042586664,,,,,
,,,,,,,,,,,,
