reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,,,,,,
2026/8/31,wk inc covid prop ili,1,2026/9/7,CN,quantile,0.025,12.15170868,,,,,,
2026/8/31,wk inc covid prop ili,1,2026/9/7,CN,quantile,0.25,12.60700738,,,,,,
2026/8/31,wk inc covid prop ili,1,2026/9/7,CN,quantile,0.5,13.06230607,,,,,,
2026/8/31,wk inc covid prop ili,1,2026/9/7,CN,quantile,0.75,13.51760477,,,,,,
2026/8/31,wk inc covid prop ili,1,2026/9/7,CN,quantile,0.975,13.97290346,,,,,,
2026/8/31,wk inc covid prop ili,2,2026/9/14,CN,quantile,0.025,11.28816093,,,,,,
2026/8/31,wk inc covid prop ili,2,2026/9/14,CN,quantile,0.25,11.71110433,,,,,,
2026/8/31,wk inc covid prop ili,2,2026/9/14,CN,quantile,0.5,12.13404772,,,,,,
2026/8/31,wk inc covid prop ili,2,2026/9/14,CN,quantile,0.75,12.55699112,,,,,,
2026/8/31,wk inc covid prop ili,2,2026/9/14,CN,quantile,0.975,12.97993452,,,,,,
2026/8/31,wk inc covid prop ili,3,2026/9/21,CN,quantile,0.025,10.61916675,,,,,,
2026/8/31,wk inc covid prop ili,3,2026/9/21,CN,quantile,0.25,11.01704436,,,,,,
2026/8/31,wk inc covid prop ili,3,2026/9/21,CN,quantile,0.5,11.41492196,,,,,,
2026/8/31,wk inc covid prop ili,3,2026/9/21,CN,quantile,0.75,11.81279957,,,,,,
2026/8/31,wk inc covid prop ili,3,2026/9/21,CN,quantile,0.975,12.21067718,,,,,,
2026/8/31,wk inc covid prop ili,4,2026/9/28,CN,quantile,0.025,9.882435748,,,,,,
2026/8/31,wk inc covid prop ili,4,2026/9/28,CN,quantile,0.25,10.25270961,,,,,,
2026/8/31,wk inc covid prop ili,4,2026/9/28,CN,quantile,0.5,10.62298347,,,,,,
2026/8/31,wk inc covid prop ili,4,2026/9/28,CN,quantile,0.75,10.99325733,,,,,,
2026/8/31,wk inc covid prop ili,4,2026/9/28,CN,quantile,0.975,11.3635312,,,,,,
2026/8/31,wk inc covid prop ili,5,2026/10/5,CN,quantile,0.025,9.093601912,,,,,,
2026/8/31,wk inc covid prop ili,5,2026/10/5,CN,quantile,0.25,9.43431985,,,,,,
2026/8/31,wk inc covid prop ili,5,2026/10/5,CN,quantile,0.5,9.775037778,,,,,,
2026/8/31,wk inc covid prop ili,5,2026/10/5,CN,quantile,0.75,10.11575572,,,,,,
2026/8/31,wk inc covid prop ili,5,2026/10/5,CN,quantile,0.975,10.45647365,,,,,,
2026/8/31,wk inc covid prop ili,6,2026/10/12,CN,quantile,0.025,8.680777755,,,,,,
2026/8/31,wk inc covid prop ili,6,2026/10/12,CN,quantile,0.25,9.006028049,,,,,,
2026/8/31,wk inc covid prop ili,6,2026/10/12,CN,quantile,0.5,9.331278333,,,,,,
2026/8/31,wk inc covid prop ili,6,2026/10/12,CN,quantile,0.75,9.656528627,,,,,,
2026/8/31,wk inc covid prop ili,6,2026/10/12,CN,quantile,0.975,9.981778921,,,,,,
2026/8/31,wk inc covid prop ili,7,2026/10/19,CN,quantile,0.025,8.267953598,,,,,,
2026/8/31,wk inc covid prop ili,7,2026/10/19,CN,quantile,0.25,8.577736248,,,,,,
2026/8/31,wk inc covid prop ili,7,2026/10/19,CN,quantile,0.5,8.887518889,,,,,,
2026/8/31,wk inc covid prop ili,7,2026/10/19,CN,quantile,0.75,9.197301539,,,,,,
2026/8/31,wk inc covid prop ili,7,2026/10/19,CN,quantile,0.975,9.507084189,,,,,,
2026/8/31,wk inc covid prop ili,8,2026/10/26,CN,quantile,0.025,7.85512944,,,,,,
2026/8/31,wk inc covid prop ili,8,2026/10/26,CN,quantile,0.25,8.149444447,,,,,,
2026/8/31,wk inc covid prop ili,8,2026/10/26,CN,quantile,0.5,8.443759444,,,,,,
2026/8/31,wk inc covid prop ili,8,2026/10/26,CN,quantile,0.75,8.738074451,,,,,,
2026/8/31,wk inc covid prop ili,8,2026/10/26,CN,quantile,0.975,9.032389457,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
