reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.01,12.298164657335409
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.025,12.56264131653394
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.05,13.00343574853149
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.1,13.885024612526594
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.15,14.766613476521698
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.2,15.6482023405168
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.25,16.529791204511902
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.3,17.411380068507007
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.35,18.29296893250211
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.4,19.17455779649721
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.45,20.056146660492317
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.5,20.93773552448742
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.55,21.819324388482524
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.6,22.700913252477626
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.65,23.58250211647273
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.7,24.464090980467837
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.75,25.34567984446294
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.8,26.227268708458045
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.85,27.10885757245315
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.9,27.990446436448256
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.95,28.872035300443358
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.975,29.31282973244091
2026-08-24,wk inc covid prop ili,-1,2026-08-17,CN,quantile,0.99,29.577306391639443
