reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.01,11.683006097623775
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.025,11.93425354037499
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.05,12.352999278293678
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.1,13.190490754131059
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.15,14.027982229968437
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.2,14.865473705805815
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.25,15.702965181643194
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.3,16.540456657480572
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.35,17.37794813331795
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.4,18.215439609155332
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.45,19.05293108499271
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.5,19.89042256083009
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.55,20.727914036667467
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.6,21.565405512504846
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.65,22.402896988342228
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.7,23.240388464179603
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.75,24.077879940016985
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.8,24.915371415854363
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.85,25.75286289169174
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.9,26.590354367529123
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.95,27.427845843366498
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.975,27.84659158128519
2026-08-31,wk inc covid prop ili,-1,2026-08-24,CN,quantile,0.99,28.097839024036404
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.01,11.698120884578149
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.025,11.94969337650928
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.05,12.368980863061166
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.1,13.20755583616494
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.15,14.046130809268712
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.2,14.884705782372485
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.25,15.723280755476257
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.3,16.561855728580028
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.35,17.400430701683803
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.4,18.239005674787574
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.45,19.07758064789135
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.5,19.91615562099512
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.55,20.754730594098895
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.6,21.593305567202666
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.65,22.431880540306437
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.7,23.27045551341021
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.75,24.109030486513984
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.8,24.947605459617755
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.85,25.78618043272153
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.9,26.6247554058253
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.95,27.463330378929072
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.975,27.88261786548096
2026-08-31,wk inc covid prop ili,0,2026-08-31,CN,quantile,0.99,28.13419035741209
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.01,11.581139675781287
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.025,11.83019644279161
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.05,12.245291054475482
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.1,13.075480277843225
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.15,13.905669501210967
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.2,14.735858724578712
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.25,15.566047947946455
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.3,16.396237171314198
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.35,17.22642639468194
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.4,18.056615618049683
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.45,18.886804841417426
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.5,19.71699406478517
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.55,20.54718328815291
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.6,21.377372511520655
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.65,22.207561734888397
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.7,23.037750958256137
2026-08-31,wk inc covid prop ili,1,2026-09-07,CN,quantile,0.75,23.86794018162388
