reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.01,0.36
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.025,0.91
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.05,0.94
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.1,1.01
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.15,1.07
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.2,1.13
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.25,1.2
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.3,1.26
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.35,1.33
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.4,1.39
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.45,1.45
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.5,1.52
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.55,1.58
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.6,1.65
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.65,1.71
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.7,1.77
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.75,1.84
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.8,1.9
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.85,1.96
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.9,2.03
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.95,2.09
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.975,2.12
2026-02-16,wk inc covid prop ili,-1,2026-02-09,CN,quantile,0.99,60.85
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.01,0.34
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.025,0.85
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.05,0.88
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.1,0.94
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.15,1.0
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.2,1.05
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.25,1.11
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.3,1.17
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.35,1.23
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.4,1.29
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.45,1.35
2026-02-16,wk inc covid prop ili,0,2026-02-16,CN,quantile,0.5,1.41
