reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.01,1.0799738370075186e-07
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.025,1.4289483157129504e-06
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.05,1.3172027556737811e-05
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.1,0.0001705115549268
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.15,0.0009589295576033
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.2,0.0037751602649537
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.25,0.0121590986714778
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.3,0.0342411492754179
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.35,0.0863427686526343
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.4,0.1932749982053308
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.45,0.3707898291532612
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.5,0.5882992920694953
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.55,0.7760350764311642
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.6,0.8949890777744447
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.65,0.9557655508262471
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.7,0.9829325001747624
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.75,0.9940080133064404
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.8,0.9981475804259954
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.85,0.9995301428558871
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.9,0.9999164862128624
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.95,0.9999935490730264
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.975,0.9999993001847316
2025-11-03,wk inc covid prop ili,-1,2025-10-27,CN,quantile,0.99,0.9999999471092368
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.01,1.864124512087798e-07
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.025,2.466481071769316e-06
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.05,2.273579756440261e-05
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.1,0.0002942806907399
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.15,0.0016540405188479
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.2,0.0064984278643118
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.25,0.0208039475125097
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.3,0.0576693016205864
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.35,0.1402426997192402
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.4,0.2925535867313635
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.45,0.5042561079480503
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.5,0.7115233206399052
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.55,0.8567510115494719
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.6,0.936350709839096
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.65,0.9738870390043816
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.7,0.9900405018106508
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.75,0.9965197922734996
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.8,0.9989259705481764
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.85,0.999727736161258
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.9,0.9999516148915508
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.95,0.999996262668792
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.975,0.9999995945644516
2025-11-03,wk inc covid prop ili,0,2025-11-03,CN,quantile,0.99,0.999999969357928
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.01,0.9723204995483384
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.025,0.989799661626374
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.05,0.9957177004699992
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.1,0.99843220349263
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.15,0.999204940762816
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.2,0.9995366520871964
2025-11-03,wk inc covid prop ili,1,2025-11-10,CN,quantile,0.25,0.9997084690291445
